Periodo,PUNTAJE_ICFES,PUNTAJE_PONDERADO,ESTADO
2018-1,328.00,67.10,NO
2018-1,335.00,67.10,NO
2018-1,334.00,67.10,NO
2018-1,337.00,67.10,NO
2018-1,342.00,67.10,NO
2018-1,327.00,67.05,NO
2018-1,344.00,67.05,NO
2018-1,343.00,67.05,NO
2018-1,335.00,67.05,NO
2018-1,328.00,67.05,NO
2018-1,339.00,67.00,NO
2018-1,339.00,67.00,NO
2018-1,328.00,67.00,NO
2018-1,335.00,67.00,NO
2018-1,332.00,66.95,NO
2018-1,335.00,66.95,NO
2018-1,324.00,66.95,NO
2018-1,335.00,66.95,NO
2018-1,328.00,66.95,NO
2018-1,335.00,66.90,NO
2018-1,342.00,66.90,NO
2018-1,338.00,66.90,NO
2018-1,340.00,66.90,NO
2018-1,331.00,66.90,NO
2018-1,328.00,66.85,NO
2018-1,330.00,66.80,NO
2018-1,337.00,66.80,NO
2018-1,330.00,66.80,NO
2018-1,332.00,66.80,NO
2018-1,328.00,66.75,NO
2018-1,335.00,66.75,NO
2018-1,328.00,66.75,NO
2018-1,328.00,66.75,NO
2018-1,336.00,66.75,NO
2018-1,338.00,66.70,NO
2018-1,335.00,66.70,NO
2018-1,333.00,66.70,NO
2018-1,331.00,66.70,NO
2018-1,330.00,66.65,NO
2018-1,321.00,66.65,NO
2018-1,330.00,66.60,NO
2018-1,329.00,66.60,NO
2018-1,326.00,66.60,NO
2018-1,328.00,66.55,NO
2018-1,330.00,66.55,NO
2018-1,335.00,66.50,NO
2018-1,332.00,66.50,NO
2018-1,342.00,66.50,NO
2018-1,334.00,66.50,NO
2018-1,333.00,66.50,NO
2018-1,318.00,66.50,NO
2018-1,338.00,66.50,NO
2018-1,337.00,66.45,NO
2018-1,335.00,66.45,NO
2018-1,325.00,66.45,NO
2018-1,333.00,66.40,NO
2018-1,333.00,66.40,NO
2018-1,330.00,66.40,NO
2018-1,328.00,66.35,NO
2018-1,329.00,66.35,NO
2018-1,332.00,66.35,NO
2018-1,337.00,66.35,NO
2018-1,328.00,66.35,NO
2018-1,323.00,66.35,NO
2018-1,323.00,66.35,NO
2018-1,330.00,66.35,NO
2018-1,324.00,66.30,NO
2018-1,328.00,66.30,NO
2018-1,321.00,66.30,NO
2018-1,327.00,66.25,NO
2018-1,327.00,66.25,NO
2018-1,335.00,66.25,NO
2018-1,328.00,66.25,NO
2018-1,331.00,66.25,NO
2018-1,328.00,66.20,NO
2018-1,321.00,66.20,NO
2018-1,312.00,66.20,NO
2018-1,331.00,66.20,NO
2018-1,341.00,66.20,NO
2018-1,328.00,66.20,NO
2018-1,328.00,66.20,NO
